team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
ADO Den Haag,20.0,0.0,0.0,0.0,0.0,0.7,70.0,0.3,0.3,0.0,0.7,1.0,0.0,2.0,0.3,0.0,0.7,67.0,0.0,0.3,0.0,0.0,244589.0,70.0,6.7,6.15,0.0,0.3,0.3,172.0,0.0,0.0,64.0,0.0,5
AZ Alkmaar,21.333333333333332,5.0,0.9666666666666667,1.1333333333333333,0.06666666666666667,1.1666666666666667,71.10000000000001,0.7666666666666666,0.7666666666666666,1.0333333333333334,1.1333333333333335,20.333333333333332,5.333333333333333,1.0,1.0666666666666667,0.9666666666666667,0.19999999999999998,1710.3333333333333,0.6666666666666666,0.13333333333333333,0.09999999999999999,0.0,164557.66666666666,71.10000000000001,26.03333333333333,6.916666666666667,0.0,1.2,2.066666666666667,184.0,1.2666666666666666,1.2666666666666666,52.0,1.6666666666666667,5
Ajax,21.0,1.25,0.5249999999999999,0.375,0.175,0.375,87.525,0.6000000000000001,0.375,1.0,0.575,9.25,1.5,4.0,0.575,0.5249999999999999,0.05,818.5,0.25,0.1,0.0,0.0,200569.25,87.525,24.7,6.6850000000000005,0.0,0.7,1.025,177.25,1.1500000000000001,0.75,70.5,1.0,5
Cambuur,25.0,0.0,0.6,0.3,0.0,0.16666666666666666,75.83333333333333,0.9666666666666667,0.09999999999999999,0.8333333333333334,0.43333333333333335,1.3333333333333333,0.3333333333333333,2.3333333333333335,0.43333333333333335,0.6,0.03333333333333333,156.33333333333334,0.0,0.16666666666666666,0.0,0.0,282156.0,75.83333333333333,31.8,6.366666666666666,0.0,1.5,0.5,119.0,1.3666666666666665,0.6,50.333333333333336,0.3333333333333333,5
De Graafschap,22.5,1.25,0.7999999999999999,0.575,0.125,0.8500000000000001,73.27499999999999,1.15,0.575,0.47500000000000003,0.975,12.5,0.75,4.25,0.6499999999999999,0.7999999999999999,0.45,1146.75,0.0,0.025,0.025,0.0,184598.25,73.27499999999999,20.6,6.279999999999999,0.25,1.4000000000000001,0.9750000000000001,179.0,1.3499999999999999,1.15,74.5,1.5,5
FC Utrecht,23.4,3.0,0.7,0.6799999999999999,0.34,0.6199999999999999,81.34,1.0,0.54,0.9799999999999999,0.8,12.2,1.4,5.2,0.9200000000000002,0.7,0.4800000000000001,1117.0,0.4,0.06000000000000001,0.3,0.0,150058.2,81.34,27.3,6.564,0.2,0.8200000000000001,1.3800000000000001,177.2,1.7,0.74,70.6,2.0,5
Feyenoord,25.25,2.25,0.9750000000000001,0.95,0.1,0.625,56.800000000000004,0.625,0.75,0.8,0.6,16.0,5.5,1.75,0.8500000000000001,0.9750000000000001,0.65,1379.0,1.75,0.125,0.025,0.0,168715.5,56.800000000000004,29.099999999999998,6.83,0.0,1.4,0.825,181.75,1.5,0.95,73.5,2.0,5
Heracles,25.666666666666668,0.6666666666666666,0.26666666666666666,0.16666666666666666,0.13333333333333333,1.4666666666666666,81.60000000000001,0.0,0.3,0.5333333333333333,0.3666666666666667,2.0,0.3333333333333333,3.0,1.0999999999999999,0.26666666666666666,0.03333333333333333,188.0,0.0,0.03333333333333333,0.09999999999999999,0.0,99437.66666666667,81.60000000000001,22.566666666666663,6.493333333333333,0.0,0.5333333333333333,0.5666666666666667,179.0,2.2333333333333334,0.6333333333333333,71.66666666666667,0.3333333333333333,5
NEC Nijmegen,20.6,0.0,0.4,0.8800000000000001,0.04,0.6199999999999999,70.08,1.1400000000000001,0.48,0.6599999999999999,0.8,9.8,0.4,6.0,0.48,0.4,0.13999999999999999,846.2,0.2,0.13999999999999999,0.0,0.0,191666.8,70.08,14.8,6.354000000000001,0.0,0.7,0.76,180.8,0.4800000000000001,0.9,73.2,0.8,5
PEC Zwolle,20.4,0.4,0.16,0.02,0.04,0.18000000000000002,73.64,0.24,0.16,0.38,0.12000000000000002,1.6,0.0,4.0,0.2,0.16,0.04,154.0,0.0,0.0,0.0,0.0,201651.2,73.64,5.92,6.0920000000000005,0.0,0.2,0.3,143.8,0.5,0.26,56.2,0.2,5
PSV Eindhoven,21.0,3.0,1.2,0.75,0.2,0.7,80.6,0.7,0.6,0.7,0.7,16.5,5.0,2.5,0.85,1.2,0.6,1501.0,1.0,0.0,0.0,0.0,178427.0,80.6,22.25,6.845,0.0,1.15,0.95,178.0,1.25,0.7999999999999999,73.0,3.0,5
Roda,25.09090909090909,0.8181818181818182,0.5909090909090908,0.6,0.17272727272727273,0.8,65.82727272727273,0.8181818181818182,0.7818181818181817,0.7545454545454544,0.881818181818182,7.545454545454546,0.9090909090909091,5.2727272727272725,1.0818181818181818,0.5909090909090908,0.2818181818181818,730.3636363636364,0.36363636363636365,0.18181818181818182,0.018181818181818184,0.0,180704.36363636365,65.82727272727273,19.063636363636366,6.534545454545454,0.0,0.6636363636363636,1.3181818181818181,164.1818181818182,1.209090909090909,0.9727272727272728,67.63636363636364,1.6363636363636365,5
SC Heerenveen,21.666666666666668,1.0,0.5333333333333333,0.43333333333333335,0.19999999999999998,0.6,78.60000000000001,0.5666666666666667,0.6666666666666666,0.3666666666666667,0.6,8.333333333333334,1.3333333333333333,5.0,0.6333333333333333,0.5333333333333333,0.16666666666666666,774.0,0.6666666666666666,0.03333333333333333,0.03333333333333333,0.0,173452.0,78.60000000000001,23.0,6.403333333333333,0.0,1.0333333333333332,0.8000000000000002,181.66666666666666,1.5,0.5,74.66666666666667,1.6666666666666667,5
Twente,19.8,0.4,0.36,0.08,0.02,0.24,87.14000000000001,0.6799999999999999,0.27999999999999997,0.6799999999999999,0.48,3.4,0.2,5.8,0.48,0.36,0.06000000000000001,346.2,0.0,0.13999999999999999,0.0,0.0,260155.6,87.14000000000001,10.02,6.186,0.2,0.45999999999999996,0.5199999999999999,144.8,0.22000000000000003,0.96,58.2,0.6,5
Vitesse,21.0,1.5,1.025,0.275,0.1,0.45,86.825,1.075,0.525,0.7999999999999999,0.8999999999999999,13.25,1.5,3.75,0.675,1.025,0.525,1199.25,0.75,0.025,0.0,0.0,228140.25,86.825,29.025,6.675000000000001,0.25,0.8500000000000001,1.35,178.75,1.175,0.675,71.5,1.5,5
Willem II,23.0,0.6,0.86,0.8200000000000001,0.12,0.6799999999999999,69.17999999999999,0.5,0.42000000000000004,0.6,0.68,8.8,0.2,2.0,0.96,0.86,0.24,804.4,0.4,0.02,0.0,0.0,150036.8,69.17999999999999,19.18,6.4159999999999995,0.0,0.6399999999999999,0.9199999999999999,175.6,1.02,1.08,67.2,2.4,5
